#r-i 					  g-r 						i-z 
-4.923780487804877426e-01 -6.420007411400077135e-01 -4.070559897587922582e-01
-4.913780487804877417e-01 -6.406365241126906751e-01 -4.059154925212232201e-01
-4.903780487804877408e-01 -6.392723070853737477e-01 -4.047749952836541265e-01
-4.893780487804877399e-01 -6.379080900580567093e-01 -4.036344980460850884e-01
-4.883780487804877390e-01 -6.365438730307397819e-01 -4.024940008085160503e-01
-4.873780487804877382e-01 -6.351796560034227435e-01 -4.013535035709469567e-01
-4.863780487804877373e-01 -6.338154389761057050e-01 -4.002130063333779186e-01
-4.853780487804877364e-01 -6.324512219487887776e-01 -3.990725090958088250e-01
-4.843780487804877355e-01 -6.310870049214717392e-01 -3.979320118582397869e-01
-4.833780487804877346e-01 -6.297227878941548118e-01 -3.967915146206706933e-01
-4.823780487804877337e-01 -6.283585708668377734e-01 -3.956510173831016552e-01
-4.813780487804877328e-01 -6.269943538395208460e-01 -3.945105201455326172e-01
-4.803780487804877319e-01 -6.256301368122038076e-01 -3.933700229079635236e-01
-4.793780487804877311e-01 -6.242659197848867692e-01 -3.922295256703944855e-01
-4.783780487804877302e-01 -6.229017027575698418e-01 -3.910890284328253919e-01
-4.773780487804877293e-01 -6.215374857302528033e-01 -3.899485311952563538e-01
-4.763780487804877284e-01 -6.201732687029358759e-01 -3.888080339576873157e-01
-4.753780487804877275e-01 -6.188090516756188375e-01 -3.876675367201182221e-01
-4.743780487804877266e-01 -6.174448346483017991e-01 -3.865270394825491840e-01
-4.733780487804877257e-01 -6.160806176209848717e-01 -3.853865422449800904e-01
-4.723780487804877248e-01 -6.147164005936678333e-01 -3.842460450074110523e-01
-4.713780487804877239e-01 -6.133521835663509059e-01 -3.831055477698420142e-01
-4.703780487804877231e-01 -6.119879665390338674e-01 -3.819650505322729206e-01
-4.693780487804877222e-01 -6.106237495117168290e-01 -3.808245532947038825e-01
-4.683780487804877213e-01 -6.092595324843999016e-01 -3.796840560571347889e-01
-4.673780487804877204e-01 -6.078953154570828632e-01 -3.785435588195657508e-01
-4.663780487804877195e-01 -6.065310984297659358e-01 -3.774030615819967127e-01
-4.653780487804877186e-01 -6.051668814024488974e-01 -3.762625643444276191e-01
