Sector,mjd_start,mjd_end
1,58324.81597222222,58352.68402777778
2,58353.60763888889,58381.020833333336
3,58382.225694444445,58408.875
4,58410.40625,58436.35763888889
5,58437.48263888889,58463.79513888889
6,58464.711805555555,58489.552083333336
7,58491.131944444445,58515.59375
8,58516.84722222222,58541.506944444445
9,58542.72222222222,58567.98263888889
10,58568.9375,58595.1875
11,58596.27777777778,58623.399305555555
12,58624.45486111111,58652.399305555555
13,58653.42013888889,58681.864583333336
14,58682.854166666664,58709.711805555555
15,58710.864583333336,58736.916666666664
16,58738.15277777778,58762.82638888889
17,58764.18402777778,58789.20138888889
18,58790.15625,58814.538194444445
19,58815.583333333336,58840.65625
20,58842.00347222222,58868.32986111111
21,58869.93402777778,58897.288194444445
22,58898.805555555555,58926.0
23,58927.604166666664,58954.381944444445
24,58955.29513888889,58981.788194444445
25,58983.131944444445,59008.8125
26,59009.76736111111,59034.64236111111
27,59035.77777777778,59060.149305555555
28,59061.350694444445,59086.604166666664
29,59087.739583333336,59113.94097222222
30,59115.385416666664,59142.729166666664
31,59144.01388888889,59171.53472222222
32,59172.572916666664,59199.739583333336
33,59201.23263888889,59227.07986111111
34,59228.25,59253.572916666664
35,59254.489583333336,59279.48611111111
36,59280.40277777778,59305.49652777778
37,59306.739583333336,59332.086805555555
38,59333.354166666664,59360.05902777778
39,59361.270833333336,59389.225694444445
40,59390.15277777778,59418.36111111111
41,59419.489583333336,59446.086805555555
42,59447.19097222222,59472.666666666664
43,59473.666666666664,59498.395833333336
44,59499.6875,59523.947916666664
45,59525.006944444445,59550.131944444445
46,59551.06597222222,59578.27777777778
47,59579.302083333336,59606.447916666664
48,59607.43402777778,59635.493055555555
49,59636.97222222222,59663.822916666664
50,59664.770833333336,59691.01736111111
51,59692.447916666664,59717.041666666664
52,59718.135416666664,59742.583333333336
53,59743.49652777778,59768.48611111111
54,59769.399305555555,59795.635416666664
55,59796.600694444445,59823.770833333336
56,59824.756944444445,59838.020833333336
57,59852.854166666664,59866.75347222222
58,59881.82986111111,59895.5625
59,59909.76388888889,59922.854166666664
60,59936.40277777778,59949.274305555555
61,59962.29861111111,59974.70486111111
62,59987.94097222222,60000.430555555555
63,60013.868055555555,60026.899305555555
64,60040.614583333336,60054.586805555555
65,60068.239583333336,60082.98263888889
66,60097.17361111111,60111.48263888889
67,60126.14236111111,60139.756944444445
68,60154.11111111111,60167.77777777778
69,60181.854166666664,60194.5
70,60207.854166666664,60220.631944444445
71,60233.53472222222,60246.51388888889
72,60259.68402777778,60272.506944444445
73,60285.29861111111,60298.447916666664
74,60312.364583333336,60325.354166666664
75,60339.28472222222,60353.0625
76,60367.197916666664,60380.89236111111
77,60394.98611111111,60408.774305555555
78,60423.26388888889,60437.166666666664
79,60452.038194444445,60465.10763888889
80,60479.38888888889,60492.850694444445
81,60506.052083333336,60519.07986111111
82,60532.89236111111,60544.96875
83,60558.927083333336,60571.21527777778
84,60584.09027777778,60596.805555555555
85,60610.055555555555,60622.739583333336
86,60635.760416666664,60649.114583333336
87,60662.541666666664,60675.947916666664
88,60689.65277777778,60703.395833333336
89,60717.63888888889,60732.45138888889
90,60746.65972222222,60760.239583333336
91,60774.791666666664,60788.76388888889
92,60802.47222222222,60815.98611111111
93,60829.35763888889,60842.63888888889
94,60855.76388888889,60868.23611111111
95,60881.833333333336,60894.17361111111
96,60907.274305555555,60919.989583333336
97,60933.15972222222,60946.37152777778
